body_type,brand,clothing_type,shoulder_width,bust,waist,hip,size
Pear,VeroModa,Slim Fit T-Shirt,47.8,84.3,67.4,99.1,L
Pear,VeroModa,Oversized Shirt,43.4,93.0,74.4,109.4,XL
Apple,VeroModa,Slim Fit Shirt,36.3,101.0,101.0,101.0,S
Apple,Zara,Regular Fit T-Shirt,38.8,90.8,90.8,90.8,XS
Hourglass,Forever 21,Regular Fit Pants,48.1,85.0,63.8,80.8,L
Rectangle,SaasFaras,Regular Fit T-Shirt,37.3,95.0,95.0,95.0,L
Apple,SaasFaras,Regular Fit Shirt,49.2,97.1,97.1,97.1,S
Pear,Only,Oversized T-Shirt,45.5,97.2,77.7,114.3,XS
Rectangle,VeroModa,Oversized Shirt,49.0,94.1,94.1,94.1,XS
Rectangle,H&M,Oversized Jeans,35.7,95.3,95.3,95.3,XL
Apple,Marks & Spencers,Slim Fit Shirt,42.0,110.1,110.1,110.1,L
Triangle,Zara,Regular Fit Pants,47.8,86.7,86.7,102.0,L
Apple,VeroModa,Regular Fit Shirt,41.7,90.7,90.7,90.7,L
Apple,SaasFaras,Slim Fit Pants,48.8,95.7,95.7,95.7,XS
Triangle,SaasFaras,Oversized Jeans,46.3,89.1,89.1,104.8,S
Pear,SaasFaras,Regular Fit Shirt,43.5,95.1,76.1,111.9,S
Rectangle,VeroModa,Oversized T-Shirt,42.9,96.5,96.5,96.5,XL
Apple,SaasFaras,Slim Fit Shirt,35.5,100.4,100.4,100.4,M
Pear,H&M,Oversized Pants,44.0,94.3,75.4,110.9,M
Pear,Marks & Spencers,Slim Fit T-Shirt,49.2,98.8,79.0,116.2,L
Pear,Forever 21,Regular Fit T-Shirt,40.1,100.1,80.1,117.8,S
Hourglass,Forever 21,Regular Fit Jeans,44.3,102.7,77.0,97.5,XS
Pear,Calvin Klein,Oversized Pants,36.3,98.8,79.0,116.2,M
Apple,Marks & Spencers,Oversized Pants,35.9,117.9,117.9,117.9,S
Apple,Marks & Spencers,Slim Fit Jeans,42.5,103.4,103.4,103.4,XL
Rectangle,Marks & Spencers,Slim Fit T-Shirt,44.7,98.1,98.1,98.1,S
Rectangle,Calvin Klein,Slim Fit Shirt,49.1,82.3,82.3,82.3,XL
Apple,Calvin Klein,Slim Fit Jeans,41.2,109.9,109.9,109.9,XS
Rectangle,Only,Oversized Shirt,39.4,95.1,95.1,95.1,L
Apple,VeroModa,Slim Fit Pants,40.1,95.5,95.5,95.5,S
Apple,Forever 21,Regular Fit Shirt,46.0,93.6,93.6,93.6,L
Apple,Forever 21,Slim Fit T-Shirt,39.5,104.8,104.8,104.8,XL
Triangle,Mango,Oversized T-Shirt,40.3,89.0,89.0,104.8,XS
Pear,Only,Regular Fit T-Shirt,47.3,100.5,80.4,118.3,M
Pear,Marks & Spencers,Oversized Shirt,35.2,87.7,70.2,103.2,S
Pear,Zara,Regular Fit Jeans,40.4,82.4,65.9,96.9,XL
Pear,VeroModa,Oversized T-Shirt,46.8,99.8,79.8,117.4,XS
Triangle,Calvin Klein,Oversized Jeans,48.1,85.5,85.5,100.6,L
Hourglass,Marks & Spencers,Slim Fit T-Shirt,38.9,109.6,82.2,104.1,L
Rectangle,Zara,Oversized Pants,35.8,81.0,81.0,81.0,S
Triangle,SaasFaras,Regular Fit Pants,38.8,93.8,93.8,110.3,XL
Rectangle,VeroModa,Regular Fit Jeans,36.1,94.9,94.9,94.9,XL
Pear,Marks & Spencers,Regular Fit Shirt,37.3,92.6,74.1,108.9,XS
Apple,VeroModa,Slim Fit Shirt,46.4,107.3,107.3,107.3,XL
Hourglass,SaasFaras,Oversized T-Shirt,45.2,85.4,64.1,81.1,M
Rectangle,SaasFaras,Regular Fit Pants,49.1,92.0,92.0,92.0,XS
Rectangle,Forever 21,Slim Fit T-Shirt,49.6,93.1,93.1,93.1,M
Apple,Mango,Regular Fit Pants,44.2,93.5,93.5,93.5,L
Pear,Calvin Klein,Regular Fit Shirt,43.3,88.3,70.6,103.9,M
Rectangle,Marks & Spencers,Oversized Pants,48.5,88.8,88.8,88.8,XL
Rectangle,SaasFaras,Slim Fit Shirt,45.1,88.3,88.3,88.3,L
Hourglass,Forever 21,Oversized Pants,48.6,85.7,64.3,81.4,M
Triangle,H&M,Slim Fit Shirt,39.7,86.3,86.3,101.6,M
Rectangle,Marks & Spencers,Regular Fit Pants,44.5,98.3,98.3,98.3,L
Apple,Calvin Klein,Regular Fit Jeans,46.7,91.3,91.3,91.3,S
Triangle,H&M,Oversized Jeans,35.1,94.7,94.7,111.5,XL
Rectangle,Forever 21,Regular Fit Pants,42.3,96.9,96.9,96.9,S
Apple,Zara,Regular Fit Jeans,48.3,96.5,96.5,96.5,L
Pear,SaasFaras,Regular Fit T-Shirt,38.2,85.7,68.6,100.8,L
Pear,VeroModa,Regular Fit Shirt,44.3,88.9,71.1,104.6,L
Hourglass,Calvin Klein,Slim Fit Pants,41.9,89.8,67.3,85.3,L
Rectangle,SaasFaras,Oversized Jeans,36.0,84.0,84.0,84.0,XS
Hourglass,Zara,Regular Fit T-Shirt,37.6,89.0,66.8,84.6,XS
Apple,Mango,Regular Fit Jeans,37.4,91.6,91.6,91.6,XS
Rectangle,Calvin Klein,Oversized Jeans,49.2,96.6,96.6,96.6,M
Apple,H&M,Slim Fit Jeans,35.8,102.6,102.6,102.6,XS
Pear,SaasFaras,Slim Fit Shirt,46.0,99.0,79.2,116.4,S
Apple,Forever 21,Regular Fit Pants,43.0,91.9,91.9,91.9,S
Triangle,SaasFaras,Regular Fit Shirt,49.0,98.1,98.1,115.4,L
Triangle,VeroModa,Slim Fit Jeans,38.2,82.5,82.5,97.1,XL
Rectangle,Only,Regular Fit T-Shirt,45.9,95.2,95.2,95.2,L
Triangle,Forever 21,Slim Fit Shirt,47.1,92.9,92.9,109.3,XL
Pear,Only,Regular Fit T-Shirt,39.0,83.9,67.1,98.7,XL
Triangle,H&M,Slim Fit T-Shirt,35.5,82.0,82.0,96.4,S
Hourglass,Calvin Klein,Regular Fit Pants,44.6,89.8,67.4,85.3,S
Hourglass,Forever 21,Slim Fit T-Shirt,39.5,107.4,80.5,102.0,L
Pear,Calvin Klein,Slim Fit T-Shirt,47.4,95.0,76.0,111.8,L
Apple,Forever 21,Oversized Shirt,44.8,91.4,91.4,91.4,S
Pear,Zara,Slim Fit T-Shirt,49.8,81.5,65.2,95.9,S
Hourglass,Mango,Regular Fit Jeans,46.9,109.4,82.1,104.0,L
Pear,Mango,Oversized T-Shirt,49.8,94.3,75.4,110.9,XL
Rectangle,Forever 21,Regular Fit Jeans,45.0,92.4,92.4,92.4,S
Hourglass,Marks & Spencers,Regular Fit Shirt,46.7,98.9,74.2,94.0,M
Rectangle,H&M,Slim Fit Jeans,49.9,97.8,97.8,97.8,XS
Apple,Zara,Regular Fit Jeans,42.7,108.1,108.1,108.1,S
Pear,Marks & Spencers,Oversized Shirt,37.0,101.2,81.0,119.1,M
Pear,SaasFaras,Slim Fit T-Shirt,35.1,97.0,77.6,114.1,S
Triangle,VeroModa,Slim Fit Jeans,42.0,81.1,81.1,95.5,XS
Rectangle,Marks & Spencers,Regular Fit Shirt,44.8,93.2,93.2,93.2,XL
Hourglass,VeroModa,Slim Fit T-Shirt,35.7,106.2,79.7,100.9,XS
Apple,H&M,Regular Fit Jeans,40.0,117.9,117.9,117.9,XS
Triangle,Mango,Regular Fit Jeans,35.4,86.2,86.2,101.5,XS
Triangle,H&M,Regular Fit Shirt,37.6,92.4,92.4,108.7,M
Pear,H&M,Slim Fit Pants,48.4,81.8,65.5,96.3,S
Triangle,Forever 21,Regular Fit Pants,36.3,82.2,82.2,96.7,XL
Rectangle,Marks & Spencers,Oversized Shirt,37.1,88.1,88.1,88.1,S
Triangle,Forever 21,Slim Fit T-Shirt,46.9,99.9,99.9,117.5,XL
Apple,Forever 21,Regular Fit T-Shirt,38.8,107.4,107.4,107.4,S
Hourglass,Zara,Regular Fit T-Shirt,43.9,100.8,75.6,95.8,XL
Triangle,SaasFaras,Regular Fit Pants,37.0,88.0,88.0,103.6,XL
Triangle,SaasFaras,Slim Fit Pants,36.6,94.6,94.6,111.2,L
Triangle,Only,Oversized Pants,48.4,87.1,87.1,102.5,M
Hourglass,Calvin Klein,Regular Fit Shirt,35.2,91.4,68.5,86.8,L
Hourglass,Forever 21,Slim Fit Shirt,36.3,97.9,73.4,93.0,XL
Apple,VeroModa,Oversized Shirt,38.4,119.7,119.7,119.7,XL
Apple,Forever 21,Slim Fit Jeans,49.7,114.9,114.9,114.9,M
Pear,VeroModa,Regular Fit Jeans,42.0,99.7,79.8,117.3,M
Rectangle,Zara,Regular Fit Shirt,47.9,89.8,89.8,89.8,XS
Hourglass,Calvin Klein,Regular Fit Shirt,45.0,103.5,77.6,98.3,M
Triangle,Forever 21,Regular Fit T-Shirt,41.4,97.8,97.8,115.1,XS
Pear,VeroModa,Oversized Jeans,45.1,97.3,77.9,114.5,XL
Apple,VeroModa,Slim Fit Jeans,46.9,104.8,104.8,104.8,L
Pear,Calvin Klein,Oversized Pants,42.9,92.5,74.0,108.8,L
Pear,Only,Oversized Jeans,36.3,92.3,73.8,108.5,XL
Pear,Only,Slim Fit Shirt,36.0,90.8,72.7,106.9,L
Pear,VeroModa,Oversized Shirt,41.0,86.5,69.2,101.8,M
Triangle,VeroModa,Regular Fit Shirt,49.7,84.0,84.0,98.8,S
Pear,Forever 21,Slim Fit T-Shirt,49.9,100.0,80.0,117.7,M
Triangle,VeroModa,Slim Fit Jeans,42.9,100.8,100.8,118.5,M
Hourglass,Marks & Spencers,Slim Fit Pants,45.5,104.2,78.1,99.0,XL
Apple,Forever 21,Slim Fit T-Shirt,46.3,101.9,101.9,101.9,L
Rectangle,VeroModa,Slim Fit Pants,43.8,82.4,82.4,82.4,XL
Apple,Mango,Slim Fit T-Shirt,42.6,100.2,100.2,100.2,XL
Pear,SaasFaras,Slim Fit Shirt,36.7,89.3,71.4,105.0,L
Apple,Calvin Klein,Slim Fit T-Shirt,44.2,108.4,108.4,108.4,S
Triangle,VeroModa,Regular Fit Pants,44.7,100.7,100.7,118.5,XS
Rectangle,SaasFaras,Slim Fit Pants,44.0,89.5,89.5,89.5,S
Hourglass,H&M,Slim Fit T-Shirt,36.9,93.5,70.1,88.8,M
Hourglass,H&M,Regular Fit T-Shirt,45.5,100.5,75.4,95.5,XS
Triangle,SaasFaras,Regular Fit Pants,43.7,99.3,99.3,116.8,S
Hourglass,Marks & Spencers,Slim Fit Shirt,36.2,98.5,73.9,93.6,L
Pear,Mango,Oversized Shirt,37.2,87.0,69.6,102.4,L
Pear,Forever 21,Oversized T-Shirt,39.8,91.9,73.5,108.1,XS
Apple,Forever 21,Slim Fit T-Shirt,48.7,113.7,113.7,113.7,M
Triangle,H&M,Regular Fit Jeans,45.2,84.9,84.9,99.9,XL
Rectangle,Only,Regular Fit Jeans,44.1,87.9,87.9,87.9,XL
Pear,Zara,Oversized Shirt,48.4,81.0,64.8,95.3,XL
Rectangle,Zara,Slim Fit Jeans,48.1,86.8,86.8,86.8,M
Triangle,Only,Regular Fit Shirt,41.6,83.6,83.6,98.3,M
Triangle,Only,Oversized T-Shirt,44.0,81.9,81.9,96.4,L
Pear,H&M,Slim Fit Jeans,47.5,100.0,80.0,117.6,XL
Rectangle,Forever 21,Oversized Jeans,42.6,85.3,85.3,85.3,S
Rectangle,VeroModa,Regular Fit Jeans,35.2,88.9,88.9,88.9,XS
Pear,Only,Slim Fit Jeans,42.2,81.1,64.8,95.4,L
Rectangle,VeroModa,Oversized T-Shirt,42.9,95.3,95.3,95.3,XL
Rectangle,Only,Regular Fit Jeans,37.1,80.2,80.2,80.2,XL
Rectangle,Calvin Klein,Slim Fit T-Shirt,42.7,88.0,88.0,88.0,L
Pear,Calvin Klein,Oversized Pants,42.6,83.8,67.1,98.6,S
Hourglass,Calvin Klein,Oversized Pants,38.0,109.9,82.4,104.4,XL
Hourglass,Zara,Slim Fit Pants,43.1,89.6,67.2,85.2,S
Hourglass,SaasFaras,Regular Fit Jeans,41.8,99.7,74.8,94.7,M
Apple,Mango,Oversized Shirt,46.9,119.5,119.5,119.5,L
Apple,Forever 21,Slim Fit Pants,45.9,110.7,110.7,110.7,M
Apple,H&M,Oversized Jeans,35.1,92.3,92.3,92.3,L
Apple,Calvin Klein,Oversized Pants,41.2,113.0,113.0,113.0,M
Triangle,SaasFaras,Regular Fit T-Shirt,49.4,82.8,82.8,97.5,XS
Hourglass,Zara,Slim Fit Pants,47.0,89.5,67.1,85.0,L
Rectangle,Only,Oversized Shirt,39.2,81.5,81.5,81.5,L
Apple,Only,Oversized Jeans,38.6,119.8,119.8,119.8,M
Hourglass,Marks & Spencers,Slim Fit Pants,49.7,95.2,71.4,90.5,XS
Pear,H&M,Slim Fit Jeans,43.7,89.7,71.7,105.5,L
Pear,Forever 21,Regular Fit Shirt,37.1,95.5,76.4,112.3,XL
Pear,Marks & Spencers,Slim Fit T-Shirt,43.5,93.9,75.1,110.5,XL
Triangle,Calvin Klein,Slim Fit Jeans,37.4,83.6,83.6,98.3,XL
Hourglass,Marks & Spencers,Oversized T-Shirt,40.3,95.2,71.4,90.5,XS
Pear,Only,Oversized Jeans,40.4,89.6,71.7,105.5,M
Pear,H&M,Regular Fit Pants,38.0,94.7,75.8,111.4,XS
Pear,H&M,Oversized Pants,38.8,98.3,78.7,115.7,M
Rectangle,Forever 21,Oversized Jeans,43.5,93.9,93.9,93.9,M
Hourglass,Marks & Spencers,Regular Fit Shirt,41.3,91.5,68.6,87.0,L
Apple,Mango,Oversized Shirt,41.2,99.6,99.6,99.6,XS
Pear,Mango,Slim Fit T-Shirt,36.6,87.5,70.0,103.0,XL
Pear,Only,Oversized T-Shirt,35.5,82.0,65.6,96.5,M
Apple,Forever 21,Oversized Pants,44.6,97.6,97.6,97.6,XL
Apple,SaasFaras,Slim Fit Jeans,39.7,107.6,107.6,107.6,M
Hourglass,Calvin Klein,Regular Fit Pants,39.4,100.3,75.2,95.3,M
Apple,SaasFaras,Regular Fit Jeans,37.7,94.9,94.9,94.9,M
Rectangle,H&M,Slim Fit Pants,43.8,91.9,91.9,91.9,XL
Apple,Only,Regular Fit Jeans,38.2,105.5,105.5,105.5,S
Triangle,Marks & Spencers,Regular Fit T-Shirt,35.2,98.0,98.0,115.3,XL
Apple,Mango,Regular Fit Jeans,40.0,98.0,98.0,98.0,L
Apple,Forever 21,Oversized T-Shirt,44.9,106.9,106.9,106.9,XL
Rectangle,Forever 21,Regular Fit Jeans,39.3,94.4,94.4,94.4,XL
Pear,Mango,Oversized T-Shirt,37.1,85.4,68.4,100.5,M
Hourglass,Forever 21,Oversized Pants,38.6,101.9,76.4,96.8,XL
Apple,Forever 21,Regular Fit Pants,49.0,110.4,110.4,110.4,S
Hourglass,Only,Regular Fit Jeans,37.3,107.2,80.4,101.8,M
Rectangle,Forever 21,Slim Fit Jeans,49.5,83.6,83.6,83.6,XS
Rectangle,Only,Slim Fit Jeans,40.5,94.5,94.5,94.5,S
Pear,H&M,Oversized Jeans,38.5,96.6,77.3,113.6,L
Pear,Calvin Klein,Oversized Pants,46.3,88.6,70.9,104.3,XS
Pear,Only,Regular Fit Shirt,40.7,101.1,80.9,118.9,M
Pear,SaasFaras,Slim Fit Pants,39.8,86.0,68.8,101.2,M
Triangle,Calvin Klein,Regular Fit Jeans,47.9,87.2,87.2,102.6,XS
Pear,H&M,Regular Fit T-Shirt,36.5,100.1,80.1,117.8,XS
Hourglass,Mango,Regular Fit Pants,38.5,101.7,76.3,96.6,XS
Pear,H&M,Slim Fit Jeans,35.1,84.5,67.6,99.4,M
Pear,Zara,Slim Fit T-Shirt,49.2,98.0,78.4,115.3,M
Pear,Only,Slim Fit Pants,46.1,95.7,76.6,112.6,XL
Triangle,Calvin Klein,Oversized Jeans,35.8,84.3,84.3,99.2,M
Pear,SaasFaras,Oversized Jeans,47.3,84.9,67.9,99.9,L
Rectangle,Zara,Regular Fit Shirt,43.7,88.0,88.0,88.0,S
Pear,SaasFaras,Slim Fit Shirt,49.0,101.6,81.3,119.5,XL
Pear,Forever 21,Regular Fit Shirt,36.7,96.2,76.9,113.1,L
Rectangle,VeroModa,Oversized Shirt,44.5,93.6,93.6,93.6,M
Pear,Mango,Oversized Shirt,35.2,83.7,67.0,98.5,XL
Apple,SaasFaras,Oversized Shirt,37.6,105.8,105.8,105.8,L
Rectangle,VeroModa,Regular Fit Pants,36.8,80.7,80.7,80.7,XL
Apple,VeroModa,Oversized Pants,36.1,97.5,97.5,97.5,M
Apple,Marks & Spencers,Regular Fit T-Shirt,47.3,102.3,102.3,102.3,XL
Hourglass,H&M,Regular Fit Jeans,39.2,88.4,66.3,84.0,XS
Rectangle,Forever 21,Oversized T-Shirt,39.7,94.9,94.9,94.9,S
Apple,Zara,Oversized T-Shirt,40.6,90.0,90.0,90.0,L
Hourglass,Marks & Spencers,Slim Fit Pants,36.6,106.6,79.9,101.2,XL
Pear,Forever 21,Slim Fit T-Shirt,36.8,84.3,67.5,99.2,S
Apple,H&M,Regular Fit Pants,45.6,97.0,97.0,97.0,XS
Triangle,Forever 21,Oversized Shirt,44.3,88.7,88.7,104.4,M
Triangle,Mango,Regular Fit Pants,36.6,100.3,100.3,117.9,L
Rectangle,Only,Oversized Shirt,44.4,85.5,85.5,85.5,S
Rectangle,VeroModa,Regular Fit Shirt,47.2,93.7,93.7,93.7,XL
Apple,H&M,Regular Fit Pants,43.0,91.0,91.0,91.0,M
Triangle,Calvin Klein,Regular Fit Pants,46.3,101.7,101.7,119.7,S
Rectangle,SaasFaras,Regular Fit T-Shirt,36.5,97.2,97.2,97.2,XS
Hourglass,Mango,Oversized Jeans,36.8,108.9,81.6,103.4,L
Triangle,Marks & Spencers,Oversized Jeans,37.1,101.0,101.0,118.8,XS
Pear,VeroModa,Slim Fit Pants,40.7,89.6,71.7,105.4,L
Pear,Forever 21,Slim Fit Shirt,47.6,92.2,73.7,108.4,XS
Rectangle,Only,Regular Fit Jeans,45.1,86.3,86.3,86.3,XS
Pear,Marks & Spencers,Regular Fit Pants,35.3,87.7,70.1,103.2,M
Rectangle,SaasFaras,Regular Fit T-Shirt,36.2,90.9,90.9,90.9,XL
Pear,SaasFaras,Oversized Jeans,37.5,99.0,79.2,116.5,XL
Hourglass,VeroModa,Oversized Pants,46.5,97.8,73.3,92.9,S
Rectangle,SaasFaras,Slim Fit Pants,38.0,97.8,97.8,97.8,M
Triangle,H&M,Regular Fit T-Shirt,37.9,95.6,95.6,112.5,M
Apple,Zara,Slim Fit Jeans,37.3,109.4,109.4,109.4,XS
Hourglass,VeroModa,Slim Fit Shirt,37.8,90.5,67.9,86.0,S
Rectangle,Only,Slim Fit Jeans,35.6,87.0,87.0,87.0,M
Hourglass,Only,Oversized Jeans,42.6,102.6,77.0,97.5,XS
Rectangle,SaasFaras,Regular Fit Pants,44.4,86.9,86.9,86.9,XL
Hourglass,H&M,Regular Fit Shirt,46.2,98.3,73.7,93.4,XS
Rectangle,H&M,Oversized Jeans,39.7,86.7,86.7,86.7,XS
Rectangle,Only,Regular Fit Jeans,43.3,93.8,93.8,93.8,S
Triangle,SaasFaras,Regular Fit Shirt,44.9,101.3,101.3,119.2,S
Pear,Marks & Spencers,Slim Fit Pants,37.9,95.9,76.7,112.8,M
Pear,H&M,Regular Fit Jeans,42.8,88.8,71.0,104.5,S
Hourglass,Mango,Regular Fit Pants,45.4,85.6,64.2,81.4,L
Apple,Mango,Oversized T-Shirt,38.0,92.6,92.6,92.6,M
Apple,SaasFaras,Oversized Pants,41.0,115.5,115.5,115.5,XL
Triangle,Marks & Spencers,Slim Fit Pants,37.4,100.4,100.4,118.2,L
Rectangle,Zara,Oversized T-Shirt,43.3,97.7,97.7,97.7,S
Hourglass,SaasFaras,Oversized Shirt,48.7,89.2,66.9,84.7,S
Rectangle,SaasFaras,Slim Fit Pants,35.1,82.3,82.3,82.3,XS
Pear,Forever 21,Oversized Pants,39.7,81.9,65.5,96.4,M
Pear,Zara,Regular Fit Pants,42.3,82.6,66.1,97.2,M
Rectangle,SaasFaras,Oversized Shirt,48.8,83.8,83.8,83.8,XL
Pear,SaasFaras,Slim Fit Jeans,39.7,89.9,71.9,105.8,XS
Pear,SaasFaras,Regular Fit Pants,46.9,88.5,70.8,104.1,S
Hourglass,VeroModa,Regular Fit Pants,47.7,105.1,78.8,99.9,L
Apple,SaasFaras,Slim Fit Pants,40.8,91.9,91.9,91.9,S
Hourglass,Only,Slim Fit Jeans,46.2,89.7,67.2,85.2,L
Pear,Only,Regular Fit Shirt,40.7,81.3,65.1,95.7,S
Pear,Forever 21,Regular Fit T-Shirt,44.2,89.2,71.3,104.9,XL
Triangle,SaasFaras,Slim Fit Jeans,45.6,91.9,91.9,108.1,S
Rectangle,Zara,Slim Fit Jeans,35.3,81.1,81.1,81.1,L
Hourglass,Only,Regular Fit Shirt,47.9,103.5,77.6,98.3,L
Pear,Only,Slim Fit Jeans,41.3,98.9,79.1,116.4,S
Pear,H&M,Slim Fit Jeans,42.5,91.7,73.4,107.9,XL
Triangle,VeroModa,Oversized Shirt,44.2,98.6,98.6,116.1,L
Hourglass,Calvin Klein,Oversized Pants,48.0,93.5,70.1,88.8,M
Pear,Zara,Regular Fit Pants,39.1,95.2,76.2,112.0,M
Pear,Zara,Regular Fit Pants,44.5,92.1,73.7,108.4,XL
Hourglass,VeroModa,Regular Fit Shirt,39.8,86.0,64.5,81.7,S
Pear,VeroModa,Oversized Pants,41.5,94.9,75.9,111.7,S
Rectangle,VeroModa,Slim Fit Jeans,45.9,81.1,81.1,81.1,S
Apple,Calvin Klein,Slim Fit Shirt,44.0,106.9,106.9,106.9,XS
Hourglass,H&M,Regular Fit Jeans,49.5,100.4,75.3,95.4,XL
Hourglass,Calvin Klein,Oversized Shirt,43.9,104.1,78.0,98.9,L
Hourglass,Calvin Klein,Oversized Jeans,42.3,100.1,75.0,95.1,XS
Rectangle,Zara,Regular Fit T-Shirt,38.9,96.3,96.3,96.3,S
Triangle,VeroModa,Oversized Shirt,37.1,97.9,97.9,115.1,XL
Triangle,Marks & Spencers,Regular Fit Pants,46.1,87.7,87.7,103.2,XS
Hourglass,VeroModa,Slim Fit Jeans,35.2,108.0,81.0,102.6,S
Apple,Calvin Klein,Oversized Shirt,49.6,92.6,92.6,92.6,M
Hourglass,Mango,Regular Fit Pants,36.1,95.7,71.8,90.9,XS
Apple,Forever 21,Slim Fit Jeans,42.6,95.8,95.8,95.8,S
Triangle,Mango,Oversized Jeans,41.4,89.3,89.3,105.1,S
Hourglass,Only,Oversized Pants,38.9,106.1,79.6,100.8,XS
Apple,Zara,Oversized Shirt,43.7,103.5,103.5,103.5,L
Rectangle,Marks & Spencers,Oversized Pants,38.5,97.7,97.7,97.7,XL
Triangle,SaasFaras,Oversized Jeans,48.0,101.4,101.4,119.3,S
Hourglass,Marks & Spencers,Slim Fit Pants,45.3,106.2,79.7,100.9,L
Pear,Only,Oversized Jeans,41.3,82.8,66.2,97.4,XS
Apple,Marks & Spencers,Oversized Shirt,37.5,106.4,106.4,106.4,XS
Hourglass,Calvin Klein,Slim Fit Shirt,36.5,97.9,73.4,93.0,S
Triangle,H&M,Oversized Jeans,40.7,101.2,101.2,119.1,L
Triangle,H&M,Oversized T-Shirt,40.2,98.8,98.8,116.3,S
Triangle,Mango,Oversized T-Shirt,48.5,94.5,94.5,111.2,XL
Hourglass,Mango,Oversized T-Shirt,42.1,106.1,79.6,100.8,S
Triangle,Calvin Klein,Regular Fit T-Shirt,38.1,88.7,88.7,104.3,XL
Triangle,Zara,Regular Fit Pants,38.8,90.3,90.3,106.3,XL
Apple,Only,Oversized Pants,38.1,93.9,93.9,93.9,XL
Hourglass,Forever 21,Oversized Pants,35.1,92.9,69.7,88.3,XL
Rectangle,Zara,Regular Fit Shirt,41.0,90.1,90.1,90.1,L
Triangle,VeroModa,Slim Fit Jeans,49.0,83.6,83.6,98.3,M
Hourglass,Only,Regular Fit Jeans,40.5,101.9,76.4,96.8,XL
Rectangle,VeroModa,Regular Fit T-Shirt,45.5,86.6,86.6,86.6,XL
Hourglass,Calvin Klein,Regular Fit Jeans,46.1,104.9,78.7,99.7,M
Hourglass,Calvin Klein,Slim Fit T-Shirt,49.3,90.1,67.6,85.6,M
Rectangle,Marks & Spencers,Regular Fit T-Shirt,38.6,88.1,88.1,88.1,XS
Hourglass,Calvin Klein,Slim Fit Pants,46.1,106.3,79.7,100.9,XL
Apple,Only,Oversized Shirt,42.3,107.8,107.8,107.8,XS
Hourglass,H&M,Slim Fit Jeans,38.5,108.1,81.1,102.7,S
Rectangle,SaasFaras,Regular Fit Pants,49.3,82.4,82.4,82.4,S
Pear,VeroModa,Regular Fit Pants,45.0,93.5,74.8,109.9,S
Triangle,SaasFaras,Oversized Jeans,38.8,93.2,93.2,109.6,XS
Apple,Marks & Spencers,Oversized Pants,47.9,105.4,105.4,105.4,M
Apple,Mango,Oversized Jeans,39.4,118.2,118.2,118.2,L
Triangle,Calvin Klein,Slim Fit T-Shirt,47.9,82.5,82.5,97.1,XS
Triangle,SaasFaras,Slim Fit Jeans,48.2,89.6,89.6,105.4,XL
Rectangle,Only,Slim Fit T-Shirt,47.3,81.2,81.2,81.2,XL
Hourglass,Zara,Regular Fit Shirt,44.8,106.0,79.5,100.7,S
Hourglass,H&M,Regular Fit T-Shirt,49.6,102.9,77.2,97.7,L
Triangle,Only,Slim Fit Pants,40.6,82.4,82.4,96.9,L
Rectangle,Zara,Regular Fit Pants,39.9,89.1,89.1,89.1,S
Hourglass,VeroModa,Oversized Jeans,42.8,102.6,77.0,97.5,L
Apple,SaasFaras,Regular Fit Pants,36.2,113.0,113.0,113.0,XL
Apple,Zara,Regular Fit Jeans,41.2,95.7,95.7,95.7,XS
Pear,Calvin Klein,Regular Fit T-Shirt,46.4,81.0,64.8,95.3,S
Apple,SaasFaras,Regular Fit T-Shirt,42.6,97.5,97.5,97.5,S
Apple,SaasFaras,Regular Fit Pants,49.2,104.6,104.6,104.6,S
Triangle,Forever 21,Slim Fit T-Shirt,37.1,101.1,101.1,119.0,XS
Rectangle,VeroModa,Slim Fit Pants,45.6,96.5,96.5,96.5,XL
Hourglass,Calvin Klein,Regular Fit Jeans,41.7,94.8,71.1,90.1,XL
Apple,VeroModa,Regular Fit Pants,36.3,99.5,99.5,99.5,L
Hourglass,Marks & Spencers,Regular Fit Pants,40.2,91.5,68.6,86.9,M
Apple,SaasFaras,Oversized Shirt,36.4,118.5,118.5,118.5,M
Rectangle,Forever 21,Slim Fit Pants,43.0,80.5,80.5,80.5,XS
Triangle,Calvin Klein,Regular Fit Shirt,39.3,101.9,101.9,119.9,XL
Pear,Only,Regular Fit Shirt,35.8,82.8,66.2,97.4,L
Apple,Zara,Slim Fit Jeans,38.4,108.1,108.1,108.1,L
Pear,Marks & Spencers,Oversized T-Shirt,45.0,82.7,66.1,97.3,S
Rectangle,SaasFaras,Oversized Pants,40.8,83.4,83.4,83.4,M
Triangle,Mango,Slim Fit Jeans,43.6,97.6,97.6,114.9,L
Pear,Forever 21,Regular Fit Shirt,42.6,85.5,68.4,100.6,XL
Pear,Only,Slim Fit Jeans,36.2,98.7,79.0,116.1,S
Triangle,H&M,Oversized Jeans,48.0,92.8,92.8,109.2,XS
Rectangle,Only,Regular Fit T-Shirt,38.9,82.6,82.6,82.6,S
Apple,Mango,Oversized Pants,38.7,118.7,118.7,118.7,M
Triangle,Forever 21,Regular Fit Pants,48.3,87.6,87.6,103.1,L
Rectangle,VeroModa,Regular Fit Pants,36.6,84.6,84.6,84.6,L
Apple,SaasFaras,Regular Fit Pants,49.2,91.4,91.4,91.4,XS
Triangle,H&M,Regular Fit Jeans,41.2,101.5,101.5,119.4,L
